Id,Date,Transaction
125,7/22,+47.23
126,8/1,-59.36
127,8/1,-45.64
128,8/4,-38.27
129,8/9,+43.76
130,8/17,+58.29
131,8/5,-57.89
132,7/2,+95.07
133,7/15,-40.35
134,8/22,-91.93
135,7/10,+44.33
136,7/12,+10.50
137,8/3,+90.03
138,7/12,-2.30
139,7/22,+59.74
140,8/25,+71.33
141,7/14,+91.11
142,8/5,-12.19
143,8/3,-80.17
144,8/10,+95.46
145,7/31,+70.24
146,8/30,+52.19
147,7/30,-1.56
148,7/17,-82.45
149,7/31,-23.93
150,8/20,-69.23
151,7/5,-92.01
152,7/8,-11.18
153,8/3,-2.61
154,8/26,+4.61
155,7/28,+30.16
156,7/12,+83.93
157,7/22,+28.74
158,8/26,+5.65
159,8/31,-29.53
160,7/29,+54.59
161,7/30,-44.25
162,7/11,-0.33
163,7/9,-49.24
164,7/6,+68.03
165,8/20,+0.14
166,7/6,-4.99
167,7/15,+41.92
168,8/29,+6.57
169,8/1,-92.14
170,7/29,+15.64
171,7/25,-18.32
172,7/20,+86.05
173,8/11,-71.82
174,8/26,-70.07
175,8/15,+2.96
176,8/8,+37.77
177,8/14,-55.85
178,7/28,-92.09
179,7/11,-88.19
180,7/19,-49.46
181,7/15,+4.11
182,8/2,+73.72
183,7/7,+33.90
184,8/13,-5.32
185,7/8,-30.72
186,8/7,+11.42
187,7/11,-2.23
188,7/29,-9.15
189,7/13,+78.31
190,8/17,-45.06
191,8/21,+61.92
192,7/31,-43.39
193,7/4,-51.14
194,8/21,+71.07
195,8/19,-64.75
196,8/24,+87.91
197,7/9,+28.77
198,7/3,+96.96
199,8/7,+97.61
200,7/7,-78.21
201,7/20,-38.43
202,8/2,-87.46
203,8/18,-27.77
204,7/28,-10.08
205,7/6,+49.63
206,8/31,+73.91
207,7/19,-64.54
208,8/9,+25.09
209,8/9,-36.68
210,7/28,-68.72
211,8/30,+1.54
212,8/22,-19.92
213,7/31,+82.02
214,7/2,+14.90
215,7/5,-66.56
216,8/24,+21.49
217,7/4,+85.50
218,8/16,+30.78
219,7/10,-53.66
220,8/22,-40.23
221,7/11,-80.21
222,8/25,-49.39
223,7/12,-46.26
224,8/17,-6.82
225,8/8,+61.51
226,8/20,+78.99
227,8/1,-64.82
228,7/23,+41.95
229,7/11,+81.55
230,7/27,+39.57
231,8/31,-88.49
232,8/29,+62.41
233,7/5,+63.78
234,7/8,-70.10
235,7/1,-39.12
236,8/9,-82.64
237,7/4,+63.49
238,7/10,+4.49
239,8/4,+61.64
240,8/29,-16.89
241,7/3,+39.29
242,8/7,+0.47
243,7/10,+49.63
244,7/26,-59.69
245,8/8,+15.79
246,7/9,+5.16
247,8/3,+46.14
248,8/28,-97.28
249,8/15,+93.67
250,7/13,-88.35
251,7/30,+76.90
252,8/3,+19.84
253,8/28,-43.55
254,7/27,+10.44
255,8/2,+38.12
256,8/4,+47.81
257,7/19,-55.97
258,7/16,+53.91
259,7/19,+77.83
260,7/9,-89.15
261,8/7,+55.87
262,8/17,-58.24
263,8/18,-5.48
264,8/13,-53.74
265,7/27,+94.84
266,7/7,+38.45
267,8/19,-67.66
268,8/28,-74.41
269,8/13,-35.61
270,7/5,-45.54
271,8/8,+53.53
272,8/3,-69.83
273,8/10,-93.51
274,8/13,+8.12
275,8/14,-26.45
276,7/6,-89.29
277,8/31,+13.78
278,8/25,+95.59
279,7/7,-19.63
280,8/1,-32.98
281,7/26,+44.40
282,7/1,+50.70
283,7/7,+74.35
284,8/29,+83.59
285,8/19,+15.20
286,8/18,+64.37
287,8/30,-64.95
288,8/9,+72.67
289,8/27,+14.68
290,8/25,+6.38
291,8/27,-28.55
292,8/26,+20.61
293,8/28,+26.53
294,8/20,+25.47
295,7/30,+69.07
296,8/18,-43.66
297,7/25,+68.84
298,8/9,-32.27
299,7/4,+78.89
300,8/30,-18.86
301,7/25,-49.00
302,7/1,-2.17
303,8/10,+53.19
304,8/31,+54.71
305,7/20,+12.79
306,8/16,+1.52
307,7/11,+94.84
308,7/4,-91.50
309,7/29,-76.46
310,8/4,+43.32
311,8/1,+82.09
312,7/8,+92.96
313,8/26,+96.02
314,7/24,-16.46
315,7/28,+47.61
316,8/8,-94.68
317,8/13,+53.83
318,6/30,-73.23
319,8/26,+86.03
320,7/25,+62.43
321,8/5,+57.90
322,7/18,-81.30
323,8/18,-95.59
324,7/16,+14.65
325,7/6,-32.95
326,8/16,+77.27
327,8/3,+38.48
328,8/1,-88.15
329,7/5,-30.09
330,8/19,-82.67
331,7/9,-98.24
332,8/14,-54.09
333,8/16,+38.56
334,8/15,-54.83
335,7/22,-40.03
336,7/5,-63.99
337,8/1,-53.96
338,7/26,-34.66
339,7/24,+8.32
340,7/21,-24.90
341,8/5,+57.79
342,8/15,+5.88
343,7/15,-82.51
344,7/25,+97.15
345,7/13,-42.10
346,7/9,+50.71
347,8/16,+34.22
348,7/5,+30.77
349,7/20,+25.05
350,8/26,-65.96
351,8/24,+79.05
352,8/13,-8.02
353,8/29,+16.63
354,7/30,-79.25
355,8/3,+91.36
356,8/10,+20.40
357,8/13,-29.37
358,7/24,+71.83
359,8/23,-96.94
360,8/5,+92.64
361,8/10,-45.92
362,7/5,-38.40
363,8/30,-75.26
364,8/1,+5.98
365,7/19,+54.63
366,7/26,+54.95
367,8/20,-92.61
368,8/3,+35.07
369,8/28,+70.31
370,8/19,-41.86
371,8/8,-54.95
372,8/20,-58.63
373,7/30,+18.67
374,7/12,+47.65
375,8/4,-6.43
376,7/7,+29.77
377,7/30,+48.79
378,7/17,-75.11
379,7/9,+4.17
380,8/8,+71.61
381,8/17,-10.80
382,8/30,+70.07
383,7/3,-54.54
384,7/1,-98.29
385,8/11,+81.50
386,7/26,+77.58
387,8/8,-83.86
388,8/1,+53.08
389,8/26,-84.35
390,7/26,+83.33
391,8/21,+42.20
392,7/4,-35.26
393,8/30,-42.30
394,7/12,-29.01
395,8/5,-93.47
396,8/24,+30.14
397,8/22,-97.07
398,8/12,-75.06
399,7/28,+78.15
400,7/15,+80.57
401,8/11,+29.11
402,8/25,-51.78
403,8/22,-41.93
404,8/23,+78.73
405,7/14,-21.55
406,7/20,-87.79
407,7/31,-33.60
408,7/1,-9.83
409,7/20,+6.34
410,8/9,-52.81
411,8/8,-91.88
412,8/9,-36.90
413,8/9,+95.46
414,8/24,-2.18
415,8/12,-37.89
416,7/26,-65.79
417,7/15,-94.10
418,8/30,+9.31
419,8/5,+21.83
420,8/30,-98.27
421,8/21,-72.98
422,8/3,+62.21
423,8/23,-25.47
424,8/31,-61.11
425,8/17,+41.49
426,8/14,-69.53
427,8/1,+98.01
428,7/12,+38.15
429,7/23,-76.34
430,7/24,+42.81
431,8/11,-79.14
432,8/14,+85.90
433,7/29,+82.44
434,8/27,+29.51
435,7/27,+51.30
436,7/27,+23.04
437,7/25,+7.31
438,7/10,-83.66
439,7/14,-91.83
440,8/13,-32.17
441,8/13,-49.05
442,8/30,+25.58
443,8/31,-87.86
444,7/18,+30.38
445,7/28,+73.34
446,7/24,+71.22
447,7/5,+44.58
448,7/24,-95.06
449,7/20,-46.98
450,8/31,-78.58
451,7/18,+95.17
452,8/26,-83.96
453,8/26,-68.71
454,8/4,+59.47
455,8/21,+17.22
456,8/11,+11.93
457,8/4,-32.46
458,7/3,-28.36
459,8/22,-53.27
460,7/30,+53.69
461,8/5,-87.02
462,7/4,-17.14
463,7/13,+95.56
464,7/23,+54.68
465,7/1,-7.92
466,7/6,-98.27
467,7/10,-31.35
468,8/30,+64.00
469,7/8,-46.23
470,8/14,-85.57
471,8/4,+17.93
472,7/10,+32.50
473,7/10,-56.03
474,8/27,+5.60
475,8/19,+63.89
476,7/29,-14.80
477,7/8,+64.93
478,8/21,-88.13
479,7/11,-48.27
480,7/23,+81.97
481,8/20,+30.90
482,8/7,-13.38
483,8/3,+33.75
484,8/4,+3.86
485,7/29,-58.25
486,7/10,+22.03
487,7/24,+20.36
488,7/11,-91.75
489,8/17,-86.04
490,7/2,-5.03
491,8/20,+85.91
492,7/27,-77.52
493,7/28,+97.98
494,8/2,+89.56
495,7/27,+79.47
496,7/28,-21.10
497,7/2,-85.72
498,7/20,+47.08
499,8/17,-10.50
500,7/1,-25.58
501,7/26,+72.56
502,8/12,+18.79
503,7/6,-68.78
504,7/4,-8.06
505,8/7,-47.51
506,7/3,-81.39
507,7/17,+40.44
508,8/4,-30.31
509,8/19,+87.46
510,8/29,-88.96
511,7/12,+78.34
512,7/20,+5.16
513,8/20,-36.80
514,7/12,-2.95
515,8/20,-40.47
516,7/7,+61.93
517,7/15,-75.49
518,7/20,+86.28
519,8/21,+40.26
520,8/26,+63.97
521,8/8,+77.95
522,8/8,+96.55
523,7/4,+93.07
524,8/16,-26.91
525,8/9,+31.42
526,7/14,+66.22
527,7/15,-93.74
528,7/2,-9.31
529,7/19,+6.42
530,7/8,+23.43
531,8/7,-27.62
532,8/13,+65.25
533,8/26,-61.42
534,7/8,+38.04
535,8/13,+78.73
536,8/27,-24.01
537,8/13,+30.69
538,7/31,+23.76
539,8/25,+75.47
540,7/29,+54.54
541,7/25,+36.44
542,8/27,-21.34
543,7/18,+52.82
544,7/13,-77.59
545,7/24,-55.08
546,8/4,+42.09
547,8/25,-45.87
548,8/5,+43.90
549,8/15,-40.86
550,8/16,+65.88
551,8/23,-98.97
552,8/27,-17.28
553,8/9,-82.82
554,8/1,-11.82
555,7/2,-12.18
556,7/31,+73.46
557,7/8,+2.69
558,7/17,-69.01
559,7/6,+43.61
560,7/18,-34.40
561,8/30,-15.27
562,7/17,-51.37
563,7/12,+43.51
564,8/5,-19.56
565,7/29,-19.45
566,8/7,+24.11
567,7/13,+38.81
568,7/13,-15.18
569,8/27,-25.74
570,8/18,+84.88
571,8/15,+90.21
572,8/12,+18.53
573,7/4,+23.62
574,7/1,-11.36
575,8/6,-22.07
576,7/31,+1.66
577,7/6,+74.49
578,8/20,-88.67
579,8/28,-49.59
580,8/2,+5.98
581,8/23,-64.60
582,7/23,-11.14
583,8/24,+61.65
584,8/20,+32.59
585,8/14,-8.72
586,8/28,-7.98
587,7/20,-24.18
588,7/21,+10.38
589,8/3,+92.34
590,7/11,+72.29
591,8/3,-71.85
592,8/25,-50.01
593,7/18,-14.79
594,8/5,-25.05
595,8/5,+76.37
596,7/16,-98.78
597,7/24,+50.40
598,8/4,+5.60
599,7/31,-14.53
600,8/17,+71.03
601,7/5,-68.38
602,7/4,-89.02
603,7/28,+80.87
604,7/15,-97.69
605,7/3,+86.49
606,8/2,+51.43
607,8/4,-99.02
608,7/16,-83.61
609,8/16,+54.68
610,8/18,+60.79
611,7/16,-60.10
612,8/8,-28.04
613,7/12,-63.92
614,8/16,+98.03
615,8/15,+68.13
616,8/3,-66.06
617,8/22,+44.34
618,7/24,+58.31
619,7/7,+8.63
620,8/28,+85.43
621,7/6,+24.91
622,7/12,-40.15
623,8/20,-91.37
624,8/11,-33.91
625,8/4,+2.10
626,7/21,+74.14
627,8/9,-63.40
628,8/22,-73.43
629,8/29,+41.74
630,8/23,+21.00
631,8/24,-48.01
632,7/17,+77.04
633,7/12,-43.30
634,8/9,+97.04
635,7/22,-9.16
636,7/1,-20.01
637,8/12,+41.82
638,7/10,-71.38
639,8/21,-76.10
640,7/6,+49.33
641,8/6,+77.71
642,7/6,-85.27
643,7/22,+19.32
644,8/13,+2.67
645,8/26,+61.47
646,8/16,+88.53
647,7/12,-2.47
648,7/13,+42.79
649,8/7,+6.51
650,8/29,+51.01
651,7/18,+51.56
652,8/8,+8.80
653,7/26,+83.54
654,8/6,+5.35
655,8/13,+19.51
656,7/9,-54.02
657,7/14,-6.70
658,8/11,-95.17
659,8/18,+76.16
660,7/26,-66.41
661,8/24,+88.49
662,7/19,-23.75
663,8/22,+33.01
664,8/30,+44.46
665,8/7,-97.09
666,8/19,+76.32
667,7/30,+44.70
668,7/8,-27.09
669,8/13,-25.15
670,8/3,+14.07
671,8/11,+81.16
672,8/15,-42.80
673,8/9,-6.85
674,7/11,-74.66
675,8/6,-13.90
676,7/31,-16.15
677,7/27,-82.41
678,7/30,-41.02
679,8/5,-65.30
680,8/20,+90.73
681,7/22,+65.56
682,8/31,+60.58
683,7/23,+47.99
684,8/27,-75.20
685,8/4,+53.03
686,7/26,-15.78
687,8/3,-30.61
688,8/14,-24.49
689,7/9,-57.85
690,7/22,+67.47
691,8/18,-60.05
692,8/10,-19.89
693,8/29,+85.67
694,7/31,-10.97
695,8/6,+60.17
696,7/2,+40.12
697,8/1,-52.51
698,7/3,-52.90
699,8/13,+27.31
700,7/24,-95.23
701,7/20,-46.71
702,8/18,-67.27
703,7/31,+75.95
704,8/23,-90.68
705,8/27,+85.51
706,7/10,-83.98
707,7/5,+6.73
708,8/6,-31.45
709,7/24,+9.37
710,8/27,-30.62
711,7/24,+94.82
712,7/9,+25.63
713,7/15,+1.76
714,7/14,-4.23
715,8/14,-29.45
716,7/11,+9.91
717,8/24,+87.43
718,7/5,+31.33
719,7/16,+72.38
720,8/16,-96.38
721,7/1,-19.27
722,8/13,+7.78
723,8/3,+45.97
724,7/1,+72.12
725,8/7,+63.68
726,8/28,+41.17
727,7/19,-23.66
728,8/7,+9.97
729,7/13,-52.61
730,8/9,+42.50
731,7/9,+44.65
732,8/2,-64.81
733,7/25,-52.62
734,7/15,+18.27
735,8/6,-17.28
736,8/27,-47.99
737,7/29,-49.37
738,8/24,-30.35
739,8/16,+54.57
740,8/23,-9.43
741,7/9,-25.94
742,7/20,+93.75
743,8/15,-68.68
744,8/7,-82.63
745,7/31,-44.23
746,8/3,-93.25
747,7/13,-33.40
748,8/10,+71.99
749,7/31,-79.92
750,8/20,-28.60
751,7/2,+71.51
752,7/27,-92.11
753,7/13,+26.20
754,8/5,+96.42
755,7/17,+99.39
756,7/20,-79.54
757,7/19,-57.70
758,7/4,+3.27
759,7/8,+82.92
760,7/14,+42.62
761,7/17,-71.35
762,8/20,+81.52
763,8/20,-12.27
764,7/12,+43.95
765,8/5,-37.77
766,7/29,-77.01
767,7/6,-78.89
768,8/30,-41.08
769,8/19,+18.38
770,7/19,-0.29
771,8/14,+18.64
772,8/5,-18.54
773,7/8,-53.45
774,8/9,-95.18
775,8/24,+45.30
776,7/18,+11.10
777,7/5,-0.34
778,7/23,-35.14
779,8/9,-78.69
780,7/11,+18.81
781,7/10,-84.79
782,7/3,+2.18
783,7/6,+83.78
784,8/14,-83.22
785,8/12,-71.12
786,7/19,+76.44
787,8/3,-83.98
788,8/13,-74.81
789,7/18,+85.75
790,8/12,-73.51
791,7/19,-60.95
792,8/23,+93.49
793,7/31,+8.65
794,8/17,+17.22
795,8/11,-29.89
796,7/6,-87.83
797,8/28,-30.71
798,8/16,-62.99
799,8/29,-71.05
800,7/30,-59.59
801,8/12,+69.91
802,7/18,-35.13
803,8/31,+60.84
804,7/19,-86.89
805,7/24,-28.53
806,7/24,+46.10
807,8/25,+74.61
808,7/9,+10.45
809,7/24,-70.84
810,7/7,+19.20
811,8/14,+3.78
812,8/10,-92.16
813,8/26,+65.79
814,7/7,-32.79
815,8/14,+90.90
816,8/10,-24.33
817,7/7,+51.27
818,8/27,+96.25
819,8/15,-69.49
820,8/11,+79.38
821,7/11,-62.80
822,8/19,-67.29
823,7/17,+78.29
824,7/30,+89.94
825,8/2,+76.51
826,7/9,-81.32
827,7/8,+80.23
828,7/17,-86.23
829,8/15,-44.63
830,8/10,+23.09
831,8/14,-91.42
832,7/23,-65.40
833,7/5,+59.99
834,8/25,-38.10
835,8/19,-96.35
836,8/9,+85.34
837,8/15,-74.12
838,8/23,+41.95
839,7/31,-57.18
840,8/19,-36.28
841,8/14,+72.93
842,7/17,-68.42
843,8/10,+18.38
844,8/4,+11.15
845,7/20,+79.91
846,7/19,+9.68
847,8/30,+4.53
848,8/12,+97.56
849,7/15,-85.19
850,7/4,-81.51
851,8/2,-32.13
852,8/24,-7.60
853,7/30,-97.93
854,8/12,+77.19
855,8/15,-84.21
856,7/31,-76.27
857,8/2,+56.04
858,7/12,-13.20
859,7/11,-44.48
860,7/17,+35.74
861,6/30,-25.14
862,8/11,-45.12
863,7/1,-30.84
864,8/22,+49.96
865,8/11,-13.11
866,7/2,+23.98
867,7/18,-18.19
868,7/5,-91.46
869,7/16,-9.71
870,8/28,+30.54
871,7/9,+93.58
872,7/23,-47.91
873,8/18,-25.64
874,8/18,+22.98
875,8/25,+39.18
876,8/4,-8.64
877,8/10,-28.61
878,7/1,+72.70
879,7/2,+97.93
880,7/9,+43.14
881,8/24,-73.58
882,7/26,-20.61
883,8/25,+95.77
884,8/21,-85.56
885,8/29,-85.77
886,7/7,-41.10
887,8/28,+54.21
888,7/29,+22.40
889,7/13,-9.32
890,7/30,+61.52
891,8/28,+32.23
892,8/16,-44.09
893,8/6,-87.62
894,8/14,-21.11
895,8/31,-33.03
896,7/8,+47.17
897,7/13,+7.55
898,7/6,+16.84
899,7/28,+88.22
900,8/5,-29.49
901,7/21,+78.00
902,8/5,-23.48
903,8/4,+68.47
904,8/3,+30.18
905,8/28,-71.06
906,7/30,-60.95
907,7/29,-84.53
908,8/16,-30.17
909,7/19,-14.65
910,8/18,+23.87
911,7/19,-80.82
912,7/31,-98.31
913,8/12,+38.78
914,7/11,+83.74
915,8/18,+51.00
916,8/17,+13.26
917,7/1,+75.86
918,7/8,+67.31
919,8/15,-15.06
920,8/23,-42.51
921,8/14,-11.87
922,8/17,-72.63
923,8/12,-76.16
924,7/9,+13.11
925,7/5,-80.93
926,8/11,-86.36
927,8/17,+8.50
928,8/8,-6.09
929,6/30,-7.40
930,8/5,-12.35
931,8/7,-8.70
932,8/17,-11.84
933,8/6,-93.19
934,7/31,+6.09
935,8/14,-52.96
936,8/21,+60.71
937,7/22,+90.36
938,8/25,-1.17
939,7/6,-98.77
940,8/18,-67.90
941,7/14,-36.80
942,7/30,+72.39
943,8/21,-87.48
944,8/21,-88.93
945,8/25,-72.47
946,7/10,-61.31
947,8/6,+81.32
948,8/21,+83.27
949,8/22,+64.66
950,7/8,-42.83
951,7/17,-87.20
952,8/27,+2.92
953,8/7,-32.16
954,7/2,-6.12
955,7/14,-89.58
956,8/27,+96.89
957,8/21,+7.86
958,7/6,+4.64
959,8/17,-43.29
960,7/24,+13.96
961,7/30,-47.83
962,7/28,-73.40
963,8/10,-26.00
964,7/1,-43.25
965,7/22,+14.78
966,8/18,+21.16
967,7/4,-5.80
968,8/20,+95.62
969,7/14,-85.44
970,7/16,+19.10
971,8/20,-2.17
972,7/27,-87.56
973,8/10,-63.12
974,7/26,+36.76
975,7/16,+25.27
976,7/21,-1.75
977,7/7,+28.85
978,7/5,-21.91
979,8/19,-91.68
980,8/30,+34.48
981,8/7,-10.91
982,7/23,+60.26
983,8/10,+4.79
984,7/18,+88.44
985,8/12,-59.64
986,8/1,-9.90
987,8/11,+75.64
988,7/9,-52.46
989,7/11,+98.27
990,7/28,+64.65
991,7/20,+35.10
992,7/19,+19.33
993,8/30,-84.44
994,7/10,-26.78
995,8/18,-63.49
996,7/29,+8.53
997,7/12,+60.84
998,8/31,+67.87
999,7/14,-6.87
1000,7/23,-34.76
1001,7/17,+50.43
1002,7/22,+51.18
1003,7/25,+59.66
1004,8/10,+8.47
1005,7/12,-78.76
1006,8/5,-26.25
1007,7/26,+76.46
1008,8/13,+81.47
1009,8/14,-51.25
1010,8/27,-21.53
1011,8/17,-71.20
1012,8/25,-29.93
1013,8/23,+50.02
1014,8/12,+17.73
1015,7/2,-60.22
1016,8/3,+40.98
1017,8/29,-86.47
1018,8/18,-13.44
1019,7/6,+70.67
1020,7/26,-25.98
1021,7/18,+40.62
1022,8/27,-40.09
1023,8/1,-71.10
1024,7/27,-57.42
1025,7/25,-0.24
1026,8/13,-67.93
1027,8/15,+49.80
1028,7/21,-52.83
1029,8/29,+67.35
1030,8/2,-38.59
1031,7/11,+98.45
1032,7/13,-75.60
1033,8/1,+43.50
1034,7/29,+76.55
1035,7/12,-27.59
1036,8/13,+13.83
1037,7/22,+87.55
1038,7/25,-5.71
1039,7/11,+79.82
1040,8/7,+45.62
1041,8/6,-48.34
1042,7/23,-8.36
1043,8/10,+84.50
1044,8/9,-69.42
1045,8/21,-29.21
1046,7/26,+57.58
1047,7/31,-25.39
1048,7/8,-70.97
1049,7/17,+46.04
1050,8/12,-66.64
1051,7/11,-24.96
1052,8/24,+38.57
1053,7/29,+62.20
1054,8/16,+55.84
1055,7/28,-56.62
1056,7/1,+4.68
1057,7/27,+26.87
1058,7/16,+40.67
1059,7/30,-90.27
1060,7/25,-81.83
1061,8/29,-65.53
1062,8/31,-77.32
1063,8/1,+55.68
1064,8/15,-61.22
1065,7/4,-30.67
1066,8/2,+3.67
1067,8/4,+44.12
1068,8/30,+36.23
1069,7/6,+78.50
1070,8/25,+6.85
1071,8/27,-4.33
1072,8/2,-24.88
1073,8/30,+55.54
1074,8/10,-67.36
1075,8/2,-89.45
1076,7/11,+74.58
1077,7/25,+11.18
1078,8/16,-53.36
1079,8/15,+26.41
1080,8/17,+17.23
1081,7/17,+71.47
1082,7/25,-77.50
1083,7/19,-56.96
1084,8/16,-25.93
1085,8/21,+42.66
1086,7/7,+94.58
1087,7/23,-55.75
1088,8/30,-92.63
1089,8/1,+75.32
1090,7/5,+87.05
1091,8/6,-96.78
1092,7/29,-10.14
1093,7/12,-31.51
1094,7/15,+68.25
1095,7/24,-20.01
1096,8/22,-15.79
1097,7/28,-28.49
1098,8/15,+72.08
1099,7/10,+93.47
1100,7/28,-54.61
1101,8/5,+80.31
1102,7/19,+87.34
1103,8/20,-31.99
1104,8/14,+11.78
1105,7/25,+87.49
1106,7/31,-97.87
1107,8/25,-74.29
1108,8/1,+22.02
1109,8/18,-46.18
1110,8/27,-14.77
1111,7/19,+96.21
1112,8/7,-90.28
1113,8/10,-31.38
1114,8/23,+64.05
1115,7/3,-26.52
1116,7/29,-26.45
1117,8/25,+57.38
1118,8/30,-23.80
1119,8/18,-15.76
1120,8/28,+49.19
1121,8/8,-74.27
1122,7/5,+95.50
1123,7/27,-23.61
1124,7/9,+41.99
1125,7/20,+84.73
1126,8/10,+10.76
1127,7/13,-20.05
1128,7/20,+44.77
1129,8/25,+4.58
1130,7/20,-15.96
1131,8/3,-60.22
1132,7/11,+47.15
1133,7/27,-26.71
1134,8/15,-40.82
1135,8/25,-34.09
1136,7/23,-44.18
1137,7/2,+68.37
1138,8/27,-46.54
1139,8/10,+43.86
1140,7/29,+29.93
1141,7/22,-46.84
1142,7/2,+34.48
1143,8/25,+58.44
1144,8/7,+42.92
1145,7/15,+46.88
1146,7/2,-18.14
1147,7/25,-9.02
1148,8/1,-87.28
1149,8/19,+88.76
1150,8/22,+62.97
1151,8/1,+84.75
1152,8/14,-5.89
1153,7/11,-11.26
1154,7/17,-27.91
1155,7/26,+64.38
1156,7/1,-25.26
1157,7/23,+55.18
1158,7/30,-22.08
1159,8/5,-13.62
1160,7/9,+78.63
1161,7/31,+72.03
1162,8/8,+94.07
1163,7/5,-73.09
1164,8/7,+79.17
1165,7/17,-85.74
1166,8/7,-61.67
1167,8/8,-2.82
1168,8/14,+71.65
1169,8/21,-9.43
1170,7/11,+36.07
1171,7/29,-13.41
1172,7/1,+39.14
1173,7/31,-10.63
1174,8/2,+53.35
1175,8/31,+26.78
1176,7/23,+46.75
1177,8/19,-83.67
1178,7/29,+58.45
1179,7/13,-33.29
1180,7/18,+20.24
1181,7/5,+6.59
1182,7/2,+50.78
1183,8/17,-11.84
1184,7/9,-71.59
1185,7/20,+24.58
1186,8/15,-97.32
1187,7/8,-77.08
1188,8/30,+30.39
1189,8/8,-57.71
1190,7/3,-19.70
1191,8/2,-57.09
1192,7/21,+92.00
1193,7/15,-98.09
1194,8/15,+56.80
1195,7/13,+36.53
1196,8/24,-42.90
1197,7/27,+70.00
1198,8/17,-46.25
1199,8/22,-70.53
1200,7/1,-21.06
1201,8/16,-73.85
1202,7/15,-67.99
1203,8/30,-35.66
1204,8/25,+29.59
1205,8/31,+18.22
1206,8/3,+38.26
1207,7/31,+19.34
1208,7/16,+96.49
1209,6/30,-91.56
1210,8/26,+70.64
1211,8/7,+38.43
1212,8/19,+50.64
1213,8/6,-23.37
1214,8/7,-26.19
1215,8/2,-20.62
1216,7/11,+89.39
1217,7/21,+71.17
1218,7/25,+97.16
1219,7/6,+53.27
1220,7/9,-44.97
1221,7/27,-88.29
1222,7/13,+37.15
1223,7/23,-41.32
1224,8/5,+90.69
1225,7/14,+18.98
1226,8/24,+29.34
1227,7/6,+11.35
1228,7/16,+85.69
1229,8/13,-71.77
1230,7/4,+69.47
1231,8/25,-51.16
1232,7/7,+45.78
1233,8/12,+5.41
1234,8/11,+23.22
1235,7/12,+93.39
1236,7/22,-59.93
1237,7/18,+16.33
1238,8/18,-59.21
1239,7/2,+56.11
1240,8/14,-68.29
1241,8/24,+32.49
1242,7/12,-64.85
1243,7/17,+20.76
1244,7/7,-34.13
1245,7/21,+84.00
1246,8/18,+52.99
1247,7/21,-64.70
